 pork, sandwich bags, lunch meat, all- purpose, flour, soda, butter, vegetables, beef, aluminum foil, all- purpose, dinner rolls, shampoo, all- purpose
 ketchup, cheeses, dinner rolls, coffee/tea, all- purpose, dishwashing liquid/detergent, individual meals, paper towels, pasta, ketchup, ,,,
 pasta, paper towels, bagels, vegetables, vegetables, cereals, bagels, all- purpose, milk, beef, soap, coffee/tea, eggs, toilet paper
 pork, individual meals, milk, bagels, sugar, shampoo, soap, beef, cereals, vegetables, spaghetti sauce, yogurt, lunch meat, milk
 eggs, cheeses, vegetables, sandwich bags, cheeses, spaghetti sauce, spaghetti sauce, coffee/tea, hand soap, toilet paper, vegetables, vegetables, eggs, dishwashing liquid/detergent
 milk, aluminum foil, coffee/tea, vegetables, shampoo, juice, eggs, dishwashing liquid/detergent, poultry, cereals, paper towels, dinner rolls, pasta, dinner rolls
 ice cream, vegetables, waffles, mixes, vegetables, sugar, coffee/tea, poultry, pork, milk, paper towels, shampoo, coffee/tea, butter
 dishwashing liquid/detergent, milk, all- purpose, juice, sandwich bags, bagels, pasta, milk, waffles, vegetables, hand soap, toilet paper, eggs, aluminum foil
 vegetables, paper towels, fruits, poultry, waffles, dinner rolls, pasta, paper towels, cereals, bagels, vegetables, mixes, paper towels, eggs
 waffles, vegetables, dishwashing liquid/detergent, beef, shampoo, ice cream, cereals, juice, sugar, sandwich bags, flour, fruits, vegetables, milk
 vegetables, waffles, shampoo, beef, paper towels, hand soap, cereals, flour, sugar, eggs, soap, butter, coffee/tea, lunch meat
 vegetables, sandwich bags, cereals, spaghetti sauce, ice cream, coffee/tea, yogurt, pasta, lunch meat, bagels, sugar, toilet paper, poultry, mixes
 vegetables, pasta, sandwich bags, butter, tortillas, bagels, tortillas, bagels, sugar, shampoo, dishwashing liquid/detergent, vegetables, coffee/tea, ice cream
 soda, butter, soda, sandwich bags, fruits, beef, fruits, ice cream, cheeses, butter, cheeses, butter, soap, eggs
 sandwich bags, soap, paper towels, eggs, tortillas, poultry, dishwashing liquid/detergent, laundry detergent, sandwich loaves, ice cream, vegetables, lunch meat, pasta, cereals
 mixes, shampoo, toilet paper, eggs, mixes, paper towels, cereals, mixes, waffles, waffles, dishwashing liquid/detergent, toilet paper, dishwashing liquid/detergent, eggs
 shampoo, dinner rolls, yogurt, shampoo, cereals, juice, beef, pork, ,,,,,
 soap, waffles, cheeses, sugar, waffles, dinner rolls, sugar, sugar, soap, hand soap, waffles, sandwich loaves, paper towels, milk
 butter, sandwich loaves, eggs, butter, lunch meat, all- purpose, lunch meat, flour, mixes, yogurt, sandwich bags, cheeses, mixes, bagels
 paper towels, juice, beef, butter, toilet paper, yogurt, laundry detergent, dishwashing liquid/detergent, toilet paper, fruits, dishwashing liquid/detergent, juice, vegetables, milk
 dishwashing liquid/detergent, yogurt, cheeses, soda, flour, pork, flour, vegetables, sugar, fruits, tortillas, waffles, dinner rolls, bagels
 milk, paper towels, flour, laundry detergent, laundry detergent, toilet paper, poultry, coffee/tea, beef, bagels, ,,,
 flour, fruits, soda, milk, dinner rolls, eggs, individual meals, paper towels, mixes, waffles, pasta, dishwashing liquid/detergent, coffee/tea, lunch meat
 vegetables, ice cream, ketchup, laundry detergent, toilet paper, mixes, shampoo, pork, vegetables, sandwich bags, tortillas, eggs, pasta, sugar
 ice cream, dinner rolls, individual meals, all- purpose, laundry detergent, fruits, cereals, toilet paper, cheeses, bagels, dishwashing liquid/detergent, individual meals, vegetables, all- purpose
 aluminum foil, shampoo, fruits, soda, yogurt, ice cream, milk, soda, soap, cereals, toilet paper, juice, vegetables, ketchup
 juice, dinner rolls, individual meals, shampoo, sandwich bags, soap, shampoo, vegetables, paper towels, milk, poultry, cereals, beef, paper towels
 milk, fruits, mixes, mixes, lunch meat, lunch meat, vegetables, paper towels, waffles, cheeses, mixes, vegetables, flour, dinner rolls
 cereals, cheeses, milk, tortillas, yogurt, paper towels, mixes, soda, spaghetti sauce, paper towels, shampoo, sugar, sandwich bags, poultry
 hand soap, bagels, dishwashing liquid/detergent, waffles, beef, poultry, mixes, laundry detergent, individual meals, bagels, ,,,
 poultry, cheeses, waffles, sugar, vegetables, aluminum foil, dishwashing liquid/detergent, soda, milk, beef, all- purpose, vegetables, all- purpose, soda
 lunch meat, cereals, flour, yogurt, fruits, sugar, dinner rolls, soap, all- purpose, soap, fruits, sandwich bags, dishwashing liquid/detergent, vegetables
 cereals, pasta, mixes, juice, vegetables, all- purpose, dinner rolls, all- purpose, flour, eggs, ketchup, yogurt, flour, laundry detergent
 vegetables, pasta, beef, lunch meat, dishwashing liquid/detergent, ice cream, lunch meat, mixes, laundry detergent, vegetables, lunch meat, mixes, bagels, bagels
 pork, laundry detergent, ketchup, tortillas, mixes, eggs, flour, eggs, beef, pasta, flour, ice cream, poultry, dishwashing liquid/detergent
 vegetables, soap, shampoo, sugar, eggs, cereals, tortillas, butter, spaghetti sauce, ,,,,
 poultry, cheeses, sandwich loaves, ketchup, sandwich bags, coffee/tea, hand soap, vegetables, lunch meat, fruits, vegetables, beef, paper towels, shampoo
 vegetables, pork, pork, cereals, vegetables, bagels, waffles, shampoo, vegetables, spaghetti sauce, mixes, butter, aluminum foil, toilet paper
 individual meals, waffles, cereals, pork, laundry detergent, ketchup, ,,,,,,,
 ice cream, dishwashing liquid/detergent, juice, sandwich loaves, lunch meat, individual meals, mixes, ,,,,,,
 waffles, mixes, cheeses, fruits, tortillas, fruits, paper towels, flour, toilet paper, hand soap, soda, soap, hand soap, all- purpose
 sandwich bags, poultry, sandwich bags, lunch meat, eggs, toilet paper, soda, ,,,,,,
 juice, cereals, aluminum foil, soda, ketchup, soda, ice cream, poultry, vegetables, juice, waffles, paper towels, aluminum foil, individual meals
 milk, milk, lunch meat, lunch meat, dishwashing liquid/detergent, aluminum foil, hand soap, hand soap, soap, hand soap, spaghetti sauce, milk, waffles, all- purpose
 milk, coffee/tea, vegetables, vegetables, dinner rolls, milk, flour, sandwich bags, coffee/tea, eggs, mixes, butter, individual meals, vegetables
 waffles, hand soap, sandwich bags, paper towels, ice cream, fruits, yogurt, cereals, pork, pork, cereals, dinner rolls, beef, aluminum foil
 tortillas, cereals, ketchup, pasta, mixes, bagels, tortillas, cheeses, pork, ice cream, ,,,
 dinner rolls, sugar, tortillas, soap, shampoo, butter, laundry detergent, sugar, all- purpose, pasta, waffles, ,,
 dinner rolls, shampoo, hand soap, milk, sugar, poultry, waffles, eggs, flour, coffee/tea, yogurt, cereals, hand soap, hand soap
 all- purpose, tortillas, all- purpose, aluminum foil, spaghetti sauce, milk, fruits, juice, poultry, vegetables, flour, poultry, beef, all- purpose
 laundry detergent, vegetables, shampoo, lunch meat, milk, juice, cheeses, pasta, laundry detergent, waffles, aluminum foil, ice cream, pasta, dinner rolls
 milk, ice cream, toilet paper, beef, laundry detergent, butter, ice cream, waffles, pasta, paper towels, bagels, soda, hand soap, ice cream
 soda, ice cream, milk, laundry detergent, bagels, poultry, ice cream, pasta, vegetables, paper towels, poultry, soda, eggs, waffles
 aluminum foil, mixes, soap, soap, milk, toilet paper, soap, spaghetti sauce, individual meals, flour, flour, ketchup, waffles, dinner rolls
 cereals, fruits, yogurt, spaghetti sauce, dishwashing liquid/detergent, hand soap, sugar, spaghetti sauce, spaghetti sauce, spaghetti sauce, cereals, poultry, sandwich loaves, ketchup
 milk, mixes, yogurt, soda, ketchup, all- purpose, individual meals, soap, milk, eggs, bagels, waffles, yogurt, poultry
 beef, paper towels, coffee/tea, ice cream, spaghetti sauce, soda, soap, vegetables, vegetables, flour, juice, aluminum foil, vegetables, dinner rolls
 hand soap, yogurt, shampoo, shampoo, dishwashing liquid/detergent, juice, ,,,,,,,
 sandwich bags, milk, sandwich loaves, soda, flour, individual meals, flour, mixes, shampoo, sugar, spaghetti sauce, dinner rolls, flour, ketchup
 hand soap, aluminum foil, lunch meat, sandwich loaves, spaghetti sauce, aluminum foil, sandwich bags, vegetables, beef, ketchup, pasta, ice cream, ketchup, butter
 pasta, sugar, soap, flour, aluminum foil, paper towels, yogurt, vegetables, poultry, soda, dishwashing liquid/detergent, soap, juice, soda
 milk, all- purpose, waffles, lunch meat, ,,,,,,,,,
 ketchup, coffee/tea, milk, poultry, vegetables, poultry, individual meals, paper towels, pasta, soda, sugar, sandwich loaves, dishwashing liquid/detergent, ketchup
 dinner rolls, yogurt, sugar, juice, individual meals, sandwich loaves, cheeses, soda, sugar, pork, individual meals, butter, soap, butter
 vegetables, mixes, poultry, lunch meat, sugar, flour, soda, milk, cereals, laundry detergent, milk, pork, pasta, all- purpose
 juice, ice cream, beef, fruits, sandwich loaves, hand soap, ,,,,,,,
 lunch meat, sandwich bags, paper towels, hand soap, milk, paper towels, bagels, ketchup, waffles, poultry, butter, waffles, vegetables, 
 waffles, dishwashing liquid/detergent, soap, paper towels, soda, butter, ice cream, coffee/tea, aluminum foil, ,,,,
 spaghetti sauce, mixes, dishwashing liquid/detergent, pork, tortillas, soda, yogurt, beef, yogurt, tortillas, bagels, dinner rolls, juice, sugar
 coffee/tea, poultry, soda, bagels, fruits, cheeses, laundry detergent, mixes, laundry detergent, bagels, mixes, soda, pasta, vegetables
 shampoo, vegetables, butter, vegetables, milk, dishwashing liquid/detergent, lunch meat, soda, beef, ,,,,
 individual meals, vegetables, cereals, beef, sandwich loaves, shampoo, beef, beef, laundry detergent, pork, sugar, lunch meat, vegetables, vegetables
 spaghetti sauce, poultry, fruits, soap, sandwich bags, ,,,,,,,,
 mixes, yogurt, poultry, vegetables, spaghetti sauce, soap, cereals, waffles, dishwashing liquid/detergent, fruits, pasta, poultry, bagels, soda
 yogurt, sandwich bags, cheeses, fruits, pasta, sugar, toilet paper, vegetables, dinner rolls, ice cream, vegetables, dishwashing liquid/detergent, ice cream, dishwashing liquid/detergent
 flour, sandwich loaves, beef, soap, dinner rolls, toilet paper, individual meals, all- purpose, toilet paper, butter, fruits, ,,
 lunch meat, toilet paper, shampoo, butter, spaghetti sauce, soap, shampoo, butter, vegetables, ketchup, poultry, lunch meat, spaghetti sauce, cheeses
 shampoo, vegetables, poultry, dishwashing liquid/detergent, aluminum foil, all- purpose, paper towels, fruits, eggs, lunch meat, mixes, cheeses, ketchup, juice
 juice, vegetables, toilet paper, mixes, shampoo, ketchup, sandwich bags, soap, vegetables, ketchup, waffles, cereals, spaghetti sauce, spaghetti sauce
 beef, butter, vegetables, milk, paper towels, paper towels, spaghetti sauce, ,,,,,,
 dinner rolls, laundry detergent, vegetables, vegetables, tortillas, flour, all- purpose, aluminum foil, sandwich bags, ice cream, sandwich loaves, beef, individual meals, shampoo
 vegetables, pork, mixes, sandwich bags, cheeses, bagels, bagels, sandwich bags, poultry, poultry, poultry, individual meals, butter, tortillas
 vegetables, yogurt, pork, laundry detergent, sandwich bags, eggs, beef, paper towels, all- purpose, hand soap, dinner rolls, eggs, ,
 toilet paper, pork, pork, all- purpose, sandwich bags, beef, vegetables, ,,,,,,
 tortillas, vegetables, coffee/tea, ketchup, coffee/tea, dinner rolls, toilet paper, tortillas, butter, mixes, sandwich loaves, ice cream, toilet paper, ice cream
 soap, sandwich loaves, ketchup, butter, bagels, paper towels, mixes, butter, fruits, milk, coffee/tea, butter, pork, mixes
 eggs, laundry detergent, hand soap, butter, paper towels, juice, fruits, mixes, vegetables, milk, laundry detergent, shampoo, shampoo, dinner rolls
 bagels, beef, waffles, toilet paper, cheeses, yogurt, bagels, cheeses, dishwashing liquid/detergent, soap, ,,,
 individual meals, flour, pork, pork, soap, beef, vegetables, juice, vegetables, juice, ketchup, laundry detergent, poultry, sandwich bags
 aluminum foil, sandwich bags, waffles, all- purpose, vegetables, paper towels, dishwashing liquid/detergent, spaghetti sauce, beef, bagels, cereals, flour, vegetables, coffee/tea
 tortillas, soap, spaghetti sauce, fruits, soda, dishwashing liquid/detergent, eggs, tortillas, bagels, vegetables, milk, vegetables, butter, spaghetti sauce
 waffles, sugar, all- purpose, shampoo, aluminum foil, vegetables, fruits, sugar, tortillas, vegetables, fruits, yogurt, sandwich loaves, flour
 vegetables, juice, beef, eggs, ,,,,,,,,,
 laundry detergent, cereals, eggs, cheeses, vegetables, coffee/tea, vegetables, juice, bagels, aluminum foil, lunch meat, yogurt, bagels, sandwich bags
 laundry detergent, dishwashing liquid/detergent, soap, vegetables, fruits, vegetables, mixes, dinner rolls, hand soap, juice, coffee/tea, milk, bagels, coffee/tea
 milk, cheeses, dishwashing liquid/detergent, pasta, paper towels, dishwashing liquid/detergent, soap, vegetables, beef, cereals, toilet paper, vegetables, all- purpose, ketchup
 sugar, flour, ketchup, paper towels, mixes, beef, dinner rolls, ice cream, poultry, bagels, laundry detergent, dishwashing liquid/detergent, beef, juice
 sandwich loaves, ketchup, mixes, soda, dinner rolls, shampoo, coffee/tea, ,,,,,,
 spaghetti sauce, paper towels, butter, bagels, pasta, soda, sandwich bags, ice cream, vegetables, dinner rolls, dinner rolls, laundry detergent, vegetables, yogurt
 eggs, poultry, dishwashing liquid/detergent, juice, cereals, butter, sugar, coffee/tea, dishwashing liquid/detergent, waffles, ice cream, soda, fruits, all- purpose
 lunch meat, dishwashing liquid/detergent, dishwashing liquid/detergent, eggs, hand soap, laundry detergent, mixes, juice, spaghetti sauce, soda, ,,,
 cereals, shampoo, soap, beef, milk, all- purpose, sandwich loaves, dishwashing liquid/detergent, ketchup, aluminum foil, pasta, pork, milk, individual meals
 ketchup, poultry, ice cream, shampoo, yogurt, eggs, waffles, sugar, ,,,,,
 dishwashing liquid/detergent, cheeses, poultry, cheeses, eggs, bagels, ice cream, vegetables, dishwashing liquid/detergent, ,,,,
 sugar, juice, vegetables, lunch meat, hand soap, vegetables, toilet paper, ketchup, pork, eggs, butter, juice, spaghetti sauce, sugar
 all- purpose, waffles, laundry detergent, vegetables, butter, eggs, soda, sandwich bags, milk, spaghetti sauce, waffles, soda, laundry detergent, vegetables
 butter, sandwich bags, sugar, aluminum foil, juice, soda, bagels, waffles, soda, bagels, toilet paper, soda, coffee/tea, waffles
 ice cream, soap, dishwashing liquid/detergent, vegetables, individual meals, yogurt, vegetables, ketchup, ice cream, beef, poultry, spaghetti sauce, sandwich loaves, butter
 lunch meat, beef, toilet paper, flour, lunch meat, vegetables, fruits, tortillas, poultry, eggs, flour, eggs, all- purpose, poultry
 ketchup, laundry detergent, soda, milk, sandwich bags, toilet paper, toilet paper, cereals, coffee/tea, ,,,,
 shampoo, flour, soda, hand soap, shampoo, all- purpose, pork, shampoo, vegetables, laundry detergent, toilet paper, spaghetti sauce, flour, mixes
 lunch meat, sugar, beef, hand soap, dishwashing liquid/detergent, sandwich loaves, vegetables, coffee/tea, vegetables, paper towels, ,,,
 bagels, yogurt, mixes, paper towels, cereals, hand soap, beef, soda, beef, bagels, vegetables, yogurt, mixes, milk
 ice cream, individual meals, lunch meat, butter, ,,,,,,,,,
 poultry, sandwich bags, pork, cheeses, cheeses, milk, hand soap, dinner rolls, aluminum foil, butter, poultry, sandwich bags, lunch meat, sandwich bags
 spaghetti sauce, individual meals, milk, fruits, bagels, ice cream, cereals, hand soap, ,,,,,
 individual meals, beef, toilet paper, juice, soap, coffee/tea, tortillas, vegetables, cereals, juice, laundry detergent, all- purpose, laundry detergent, butter
 sandwich bags, butter, paper towels, soap, dinner rolls, toilet paper, juice, juice, ice cream, eggs, butter, butter, toilet paper, vegetables
 shampoo, paper towels, tortillas, mixes, paper towels, lunch meat, spaghetti sauce, sandwich loaves, laundry detergent, ,,,,
 eggs, laundry detergent, soap, pasta, beef, laundry detergent, juice, poultry, poultry, bagels, laundry detergent, sandwich loaves, poultry, vegetables
 sugar, butter, shampoo, yogurt, shampoo, all- purpose, paper towels, tortillas, aluminum foil, lunch meat, vegetables, vegetables, soda, 
 ketchup, flour, aluminum foil, milk, individual meals, eggs, soap, vegetables, aluminum foil, pasta, tortillas, sandwich loaves, tortillas, shampoo
 milk, fruits, tortillas, waffles, tortillas, eggs, mixes, soda, all- purpose, shampoo, all- purpose, all- purpose, poultry, sugar
 toilet paper, paper towels, milk, fruits, lunch meat, laundry detergent, bagels, butter, tortillas, milk, coffee/tea, pasta, soda, dishwashing liquid/detergent
 shampoo, aluminum foil, individual meals, dishwashing liquid/detergent, milk, flour, soap, lunch meat, soap, toilet paper, shampoo, dinner rolls, ,
 eggs, soap, butter, cheeses, dinner rolls, yogurt, sugar, soap, coffee/tea, soda, ,,,
 pasta, toilet paper, juice, shampoo, cereals, yogurt, soda, vegetables, ice cream, sugar, mixes, vegetables, ice cream, dinner rolls
 ketchup, poultry, ice cream, cereals, beef, milk, mixes, laundry detergent, aluminum foil, yogurt, juice, soda, dishwashing liquid/detergent, butter
 vegetables, cheeses, vegetables, mixes, dinner rolls, toilet paper, aluminum foil, pasta, fruits, fruits, dishwashing liquid/detergent, hand soap, butter, lunch meat
 juice, pork, milk, pasta, cereals, ice cream, aluminum foil, tortillas, mixes, poultry, dinner rolls, all- purpose, hand soap, tortillas
 soap, vegetables, pork, cheeses, poultry, cereals, individual meals, beef, ketchup, hand soap, dishwashing liquid/detergent, soda, vegetables, bagels
 cereals, mixes, cheeses, paper towels, bagels, cheeses, cereals, sandwich bags, individual meals, tortillas, aluminum foil, waffles, sandwich bags, beef
 beef, vegetables, soda, flour, ,,,,,,,,,
 pasta, cheeses, eggs, flour, ketchup, laundry detergent, dishwashing liquid/detergent, tortillas, butter, ,,,,
 fruits, soda, eggs, dinner rolls, pasta, pasta, vegetables, sandwich loaves, sandwich loaves, ketchup, bagels, ice cream, flour, soda
 pork, laundry detergent, aluminum foil, lunch meat, ice cream, laundry detergent, vegetables, pork, dishwashing liquid/detergent, individual meals, hand soap, butter, coffee/tea, pork
 mixes, vegetables, soap, yogurt, laundry detergent, dinner rolls, waffles, mixes, spaghetti sauce, cheeses, butter, sandwich loaves, butter, milk
 soap, milk, soda, soap, poultry, yogurt, waffles, soap, toilet paper, juice, juice, individual meals, soap, bagels
 vegetables, ketchup, all- purpose, paper towels, lunch meat, aluminum foil, beef, dishwashing liquid/detergent, sandwich loaves, laundry detergent, cereals, ice cream, waffles, vegetables
 vegetables, spaghetti sauce, vegetables, paper towels, paper towels, laundry detergent, fruits, butter, sandwich bags, aluminum foil, yogurt, juice, flour, shampoo
 spaghetti sauce, cereals, soap, sandwich bags, individual meals, sandwich loaves, poultry, soap, bagels, dinner rolls, fruits, sandwich bags, dinner rolls, individual meals
 ketchup, tortillas, lunch meat, poultry, paper towels, ,,,,,,,,
 dinner rolls, sandwich loaves, yogurt, all- purpose, flour, yogurt, pork, butter, dinner rolls, poultry, laundry detergent, juice, spaghetti sauce, yogurt
 flour, laundry detergent, vegetables, toilet paper, lunch meat, cheeses, sandwich bags, sugar, juice, eggs, yogurt, tortillas, cheeses, eggs
 dinner rolls, mixes, soap, ice cream, poultry, laundry detergent, coffee/tea, vegetables, soda, aluminum foil, cereals, paper towels, beef, vegetables
 mixes, poultry, sandwich bags, milk, tortillas, aluminum foil, fruits, cheeses, ice cream, yogurt, mixes, dinner rolls, poultry, pork
 aluminum foil, cheeses, sandwich loaves, waffles, all- purpose, dishwashing liquid/detergent, dishwashing liquid/detergent, vegetables, ketchup, poultry, soap, juice, spaghetti sauce, cereals
 flour, ice cream, milk, soda, flour, soap, lunch meat, individual meals, beef, beef, ice cream, bagels, poultry, milk
 hand soap, tortillas, pasta, yogurt, vegetables, flour, pasta, cereals, sugar, vegetables, vegetables, vegetables, hand soap, coffee/tea
 aluminum foil, poultry, sandwich bags, aluminum foil, vegetables, dinner rolls, ice cream, vegetables, cheeses, paper towels, eggs, waffles, dinner rolls, ice cream
 tortillas, soda, dinner rolls, vegetables, poultry, yogurt, juice, juice, butter, dinner rolls, juice, aluminum foil, eggs, sandwich loaves
 bagels, pasta, tortillas, coffee/tea, bagels, sugar, ketchup, fruits, juice, lunch meat, sandwich bags, ,,
 individual meals, laundry detergent, beef, ketchup, ketchup, milk, pasta, aluminum foil, spaghetti sauce, dinner rolls, cereals, flour, vegetables, pork
 all- purpose, waffles, cereals, lunch meat, cheeses, juice, individual meals, spaghetti sauce, lunch meat, paper towels, dishwashing liquid/detergent, cereals, milk, 
 toilet paper, pasta, pork, flour, dishwashing liquid/detergent, cereals, juice, milk, shampoo, individual meals, pork, soap, sandwich loaves, 
 vegetables, fruits, cheeses, vegetables, cheeses, toilet paper, fruits, lunch meat, vegetables, bagels, laundry detergent, aluminum foil, vegetables, vegetables
 coffee/tea, dishwashing liquid/detergent, toilet paper, vegetables, cheeses, ,,,,,,,,
 vegetables, flour, soda, sandwich loaves, beef, vegetables, flour, sandwich loaves, ,,,,,
 flour, milk, soap, soap, pasta, ice cream, aluminum foil, sandwich bags, individual meals, soap, bagels, soap, toilet paper, soap
 vegetables, coffee/tea, coffee/tea, vegetables, eggs, juice, soap, butter, tortillas, poultry, ,,,
 individual meals, toilet paper, all- purpose, laundry detergent, butter, aluminum foil, pasta, ice cream, individual meals, individual meals, vegetables, soda, ,
 sandwich loaves, butter, laundry detergent, vegetables, eggs, bagels, pasta, aluminum foil, sugar, sandwich loaves, dinner rolls, ketchup, tortillas, bagels
 sugar, yogurt, poultry, vegetables, beef, cereals, fruits, milk, all- purpose, dinner rolls, coffee/tea, juice, dishwashing liquid/detergent, tortillas
 eggs, yogurt, butter, toilet paper, eggs, waffles, ,,,,,,,
 milk, coffee/tea, vegetables, soda, milk, individual meals, sandwich loaves, pasta, eggs, yogurt, vegetables, sandwich bags, vegetables, milk
 cheeses, vegetables, cereals, ice cream, pork, waffles, laundry detergent, cheeses, tortillas, cereals, all- purpose, vegetables, sandwich bags, soda
 toilet paper, butter, pork, juice, soda, yogurt, toilet paper, sandwich bags, paper towels, dinner rolls, lunch meat, lunch meat, pork, shampoo
 flour, mixes, all- purpose, ketchup, hand soap, waffles, sugar, all- purpose, soap, sandwich loaves, aluminum foil, cheeses, toilet paper, spaghetti sauce
 paper towels, pasta, ice cream, spaghetti sauce, sandwich loaves, individual meals, all- purpose, aluminum foil, aluminum foil, toilet paper, lunch meat, ,,
 dishwashing liquid/detergent, soda, sugar, milk, beef, all- purpose, paper towels, toilet paper, eggs, dishwashing liquid/detergent, aluminum foil, lunch meat, all- purpose, ice cream
 ice cream, shampoo, pasta, bagels, coffee/tea, waffles, soda, dinner rolls, hand soap, laundry detergent, coffee/tea, eggs, sugar, coffee/tea
 eggs, hand soap, yogurt, sugar, vegetables, sandwich loaves, all- purpose, ,,,,,,
 ice cream, dishwashing liquid/detergent, vegetables, coffee/tea, milk, paper towels, laundry detergent, poultry, sandwich bags, milk, poultry, eggs, ,
 dishwashing liquid/detergent, eggs, cereals, vegetables, vegetables, individual meals, eggs, soda, poultry, eggs, tortillas, tortillas, toilet paper, soda
 sandwich loaves, sugar, dinner rolls, individual meals, dinner rolls, cereals, spaghetti sauce, hand soap, poultry, waffles, poultry, cheeses, ice cream, sandwich loaves
 soap, individual meals, pork, coffee/tea, aluminum foil, cereals, poultry, ,,,,,,
 eggs, sandwich loaves, milk, lunch meat, spaghetti sauce, milk, ice cream, all- purpose, ketchup, all- purpose, poultry, ice cream, poultry, dinner rolls
 all- purpose, spaghetti sauce, dinner rolls, soda, juice, waffles, ,,,,,,,
 beef, spaghetti sauce, fruits, poultry, shampoo, yogurt, ice cream, dinner rolls, ,,,,,
 paper towels, pasta, juice, milk, pasta, hand soap, mixes, eggs, vegetables, mixes, dinner rolls, flour, pork, paper towels
 individual meals, sandwich bags, beef, poultry, aluminum foil, toilet paper, pork, cheeses, dishwashing liquid/detergent, flour, pasta, coffee/tea, pork, butter
 juice, ice cream, dishwashing liquid/detergent, pasta, ,,,,,,,,,
 paper towels, aluminum foil, pork, soda, shampoo, pork, waffles, hand soap, sugar, sugar, yogurt, all- purpose, pasta, individual meals
 ketchup, vegetables, soda, fruits, lunch meat, fruits, waffles, cereals, dinner rolls, ,,,,
 soda, vegetables, poultry, vegetables, sugar, toilet paper, vegetables, toilet paper, shampoo, sandwich loaves, vegetables, aluminum foil, pork, individual meals
 cereals, soap, cheeses, individual meals, flour, bagels, all- purpose, fruits, bagels, yogurt, bagels, flour, poultry, 
 laundry detergent, pork, yogurt, vegetables, fruits, paper towels, bagels, eggs, waffles, beef, individual meals, paper towels, vegetables, cereals
 fruits, hand soap, vegetables, dishwashing liquid/detergent, bagels, flour, laundry detergent, aluminum foil, laundry detergent, all- purpose, ,,,
 fruits, beef, all- purpose, vegetables, dinner rolls, waffles, vegetables, individual meals, dinner rolls, eggs, laundry detergent, pork, yogurt, soda
 pasta, pork, flour, coffee/tea, waffles, mixes, ,,,,,,,
 toilet paper, soap, juice, toilet paper, eggs, beef, shampoo, tortillas, soda, waffles, waffles, eggs, lunch meat, spaghetti sauce
 ice cream, sandwich bags, flour, juice, dinner rolls, coffee/tea, cheeses, butter, vegetables, aluminum foil, fruits, pork, tortillas, sandwich loaves
 butter, bagels, ice cream, vegetables, pork, individual meals, ice cream, beef, aluminum foil, pork, ,,,
 coffee/tea, sandwich bags, ice cream, sandwich loaves, paper towels, fruits, sandwich bags, cereals, mixes, milk, paper towels, tortillas, yogurt, individual meals
 waffles, vegetables, flour, aluminum foil, mixes, dishwashing liquid/detergent, shampoo, flour, spaghetti sauce, sandwich loaves, waffles, yogurt, sugar, toilet paper
 dinner rolls, beef, tortillas, fruits, poultry, beef, yogurt, butter, sugar, milk, butter, sugar, toilet paper, cheeses
 dishwashing liquid/detergent, tortillas, shampoo, butter, dishwashing liquid/detergent, butter, juice, beef, sandwich loaves, mixes, paper towels, vegetables, soap, soap
 sugar, dinner rolls, soap, toilet paper, aluminum foil, butter, ketchup, butter, yogurt, soda, juice, spaghetti sauce, butter, soap
 lunch meat, waffles, flour, vegetables, individual meals, soap, hand soap, vegetables, dishwashing liquid/detergent, soda, ,,,
 vegetables, laundry detergent, flour, dishwashing liquid/detergent, paper towels, sugar, pork, coffee/tea, individual meals, ice cream, soap, poultry, all- purpose, individual meals
 pasta, ice cream, beef, toilet paper, beef, tortillas, laundry detergent, paper towels, ,,,,,
 vegetables, dinner rolls, eggs, soap, coffee/tea, tortillas, sandwich bags, sandwich bags, individual meals, flour, vegetables, fruits, fruits, ketchup
 laundry detergent, sandwich bags, spaghetti sauce, toilet paper, aluminum foil, mixes, all- purpose, aluminum foil, hand soap, pasta, juice, dinner rolls, ketchup, eggs
 milk, all- purpose, vegetables, vegetables, flour, ketchup, sandwich bags, cheeses, laundry detergent, paper towels, eggs, butter, flour, sandwich bags
 laundry detergent, sugar, cheeses, individual meals, bagels, hand soap, paper towels, pork, pork, waffles, cheeses, lunch meat, tortillas, dinner rolls
 dinner rolls, tortillas, ketchup, tortillas, sandwich bags, vegetables, yogurt, juice, fruits, coffee/tea, sandwich loaves, poultry, dishwashing liquid/detergent, cereals
 sandwich loaves, hand soap, soda, vegetables, aluminum foil, toilet paper, shampoo, sandwich bags, paper towels, shampoo, vegetables, ice cream, sugar, butter
 pasta, juice, juice, mixes, yogurt, bagels, toilet paper, ice cream, ,,,,,
 shampoo, flour, cheeses, poultry, dinner rolls, fruits, lunch meat, ,,,,,,
 juice, cereals, yogurt, vegetables, hand soap, hand soap, waffles, lunch meat, coffee/tea, hand soap, vegetables, butter, individual meals, sandwich loaves
 toilet paper, juice, flour, flour, soap, vegetables, eggs, all- purpose, pork, tortillas, hand soap, sandwich loaves, ,
 milk, tortillas, milk, spaghetti sauce, beef, poultry, fruits, ,,,,,,
 bagels, toilet paper, mixes, spaghetti sauce, sandwich loaves, beef, sandwich bags, spaghetti sauce, sugar, milk, tortillas, fruits, laundry detergent, spaghetti sauce
 yogurt, milk, eggs, dishwashing liquid/detergent, soap, poultry, yogurt, flour, soap, toilet paper, sugar, vegetables, sugar, cereals
